DATE,CLOSING PRICE
09/12/2012,7.96
09/11/2012,7.74
09/10/2012,7.86
09/07/2012,8.36
09/06/2012,8.26
09/05/2012,8.24
09/04/2012,8.19
09/03/2012,8.25
8/31/2012,8.03
8/30/2012,7.67
8/29/2012,7.72
8/28/2012,8.01
8/27/2012,8.16
8/24/2012,8.16
8/23/2012,8.15
8/22/2012,8.03
8/21/2012,7.91
8/20/2012,7.64
8/17/2012,7.71
8/16/2012,7.7
8/15/2012,7.5
8/14/2012,7.65
8/13/2012,7.5
08/10/2012,7.2
08/09/2012,7.15
08/08/2012,7.24
08/07/2012,7.32
08/06/2012,7.2
08/03/2012,7.12
08/02/2012,7.08
08/01/2012,6.98
7/31/2012,6.93
7/30/2012,6.58
7/27/2012,6.93
7/26/2012,6.97
7/25/2012,6.86
7/24/2012,7.2
7/23/2012,7.15
7/20/2012,7.14
7/19/2012,6.87
7/18/2012,7.16
7/17/2012,7.7
7/16/2012,7.57
7/13/2012,7.65
07/12/2012,7.69
07/11/2012,7.91
07/10/2012,7.95
07/09/2012,8.01
07/06/2012,8.07
07/05/2012,8.36
07/04/2012,8.3
07/03/2012,8.34
07/02/2012,8.15
6/29/2012,8.29
6/28/2012,7.98
6/27/2012,7.97
6/26/2012,8.1
6/25/2012,8.06
6/22/2012,8.16
6/21/2012,7.56
6/20/2012,7.51
6/19/2012,7.59
6/18/2012,7.42
6/15/2012,7.32
6/14/2012,6.93
6/13/2012,6.8
06/12/2012,6.73
06/11/2012,6.68
06/08/2012,6.65
06/07/2012,6.54
06/06/2012,6.46
06/05/2012,6.48
06/04/2012,6.5
06/01/2012,6.46
5/31/2012,6.37
5/30/2012,6.5
5/29/2012,6.64
5/25/2012,6.92
5/24/2012,6.89
5/23/2012,6.8
5/22/2012,7
5/21/2012,6.7
5/18/2012,6.43
5/16/2012,6.58
5/15/2012,6.56
5/14/2012,6.67
05/11/2012,6.83
05/10/2012,6.75
